"","Date","Country","Confirmed","Recovered","Deaths","nuovi_positivi","totale_positivi","nuovi_removed","removed"
"78","2020-01-22","Iceland",0,0,0,0,0,0,0
"263","2020-01-23","Iceland",0,0,0,0,0,0,0
"448","2020-01-24","Iceland",0,0,0,0,0,0,0
"633","2020-01-25","Iceland",0,0,0,0,0,0,0
"818","2020-01-26","Iceland",0,0,0,0,0,0,0
"1003","2020-01-27","Iceland",0,0,0,0,0,0,0
"1188","2020-01-28","Iceland",0,0,0,0,0,0,0
"1373","2020-01-29","Iceland",0,0,0,0,0,0,0
"1558","2020-01-30","Iceland",0,0,0,0,0,0,0
"1743","2020-01-31","Iceland",0,0,0,0,0,0,0
"1928","2020-02-01","Iceland",0,0,0,0,0,0,0
"2113","2020-02-02","Iceland",0,0,0,0,0,0,0
"2298","2020-02-03","Iceland",0,0,0,0,0,0,0
"2483","2020-02-04","Iceland",0,0,0,0,0,0,0
"2668","2020-02-05","Iceland",0,0,0,0,0,0,0
"2853","2020-02-06","Iceland",0,0,0,0,0,0,0
"3038","2020-02-07","Iceland",0,0,0,0,0,0,0
"3223","2020-02-08","Iceland",0,0,0,0,0,0,0
"3408","2020-02-09","Iceland",0,0,0,0,0,0,0
"3593","2020-02-10","Iceland",0,0,0,0,0,0,0
"3778","2020-02-11","Iceland",0,0,0,0,0,0,0
"3963","2020-02-12","Iceland",0,0,0,0,0,0,0
"4148","2020-02-13","Iceland",0,0,0,0,0,0,0
"4333","2020-02-14","Iceland",0,0,0,0,0,0,0
"4518","2020-02-15","Iceland",0,0,0,0,0,0,0
"4703","2020-02-16","Iceland",0,0,0,0,0,0,0
"4888","2020-02-17","Iceland",0,0,0,0,0,0,0
"5073","2020-02-18","Iceland",0,0,0,0,0,0,0
"5258","2020-02-19","Iceland",0,0,0,0,0,0,0
"5443","2020-02-20","Iceland",0,0,0,0,0,0,0
"5628","2020-02-21","Iceland",0,0,0,0,0,0,0
"5813","2020-02-22","Iceland",0,0,0,0,0,0,0
"5998","2020-02-23","Iceland",0,0,0,0,0,0,0
"6183","2020-02-24","Iceland",0,0,0,0,0,0,0
"6368","2020-02-25","Iceland",0,0,0,0,0,0,0
"6553","2020-02-26","Iceland",0,0,0,0,0,0,0
"6738","2020-02-27","Iceland",0,0,0,0,0,0,0
"6923","2020-02-28","Iceland",1,0,0,1,1,0,0
"7108","2020-02-29","Iceland",1,0,0,0,1,0,0
"7293","2020-03-01","Iceland",3,0,0,2,3,0,0
"7478","2020-03-02","Iceland",6,0,0,3,6,0,0
"7663","2020-03-03","Iceland",11,0,0,5,11,0,0
"7848","2020-03-04","Iceland",26,0,0,15,26,0,0
"8033","2020-03-05","Iceland",34,0,0,8,34,0,0
"8218","2020-03-06","Iceland",43,0,0,9,43,0,0
"8403","2020-03-07","Iceland",50,0,0,7,50,0,0
"8588","2020-03-08","Iceland",50,0,0,0,50,0,0
"8773","2020-03-09","Iceland",58,0,0,8,58,0,0
"8958","2020-03-10","Iceland",69,1,0,11,68,0,1
"9143","2020-03-11","Iceland",85,1,0,16,84,0,1
"9328","2020-03-12","Iceland",103,1,0,18,102,0,1
"9513","2020-03-13","Iceland",134,1,0,31,133,0,1
"9698","2020-03-14","Iceland",156,1,0,22,155,0,1
"9883","2020-03-15","Iceland",171,8,5,15,158,0,13
"10068","2020-03-16","Iceland",180,0,0,9,180,0,0
"10253","2020-03-17","Iceland",220,0,1,40,219,0,1
"10438","2020-03-18","Iceland",250,5,1,30,244,0,6
"10623","2020-03-19","Iceland",330,5,1,80,324,0,6
"10808","2020-03-20","Iceland",409,5,0,79,404,0,5
"10993","2020-03-21","Iceland",473,22,1,64,450,0,23
"11178","2020-03-22","Iceland",568,36,1,95,531,0,37
"11363","2020-03-23","Iceland",588,36,1,20,551,0,37
"11548","2020-03-24","Iceland",648,51,2,60,595,0,53
"11733","2020-03-25","Iceland",737,56,2,89,679,0,58
"11918","2020-03-26","Iceland",802,82,2,65,718,0,84
"12103","2020-03-27","Iceland",890,97,2,88,791,0,99
"12288","2020-03-28","Iceland",963,114,2,73,847,0,116
"12473","2020-03-29","Iceland",1020,135,2,57,883,0,137
"12658","2020-03-30","Iceland",1086,157,2,66,927,0,159
"12843","2020-03-31","Iceland",1135,198,2,49,935,0,200
"13028","2020-04-01","Iceland",1220,225,2,85,993,0,227
"13213","2020-04-02","Iceland",1319,284,4,99,1031,0,288
"13398","2020-04-03","Iceland",1364,309,4,45,1051,0,313
"13583","2020-04-04","Iceland",1417,396,4,53,1017,0,400
"13768","2020-04-05","Iceland",1486,428,4,69,1054,0,432
"13953","2020-04-06","Iceland",1562,460,6,76,1096,0,466
"14138","2020-04-07","Iceland",1586,559,6,24,1021,0,565
"14323","2020-04-08","Iceland",1616,633,6,30,977,0,639
"14508","2020-04-09","Iceland",1648,688,6,32,954,0,694
"14693","2020-04-10","Iceland",1675,751,7,27,917,0,758
"14878","2020-04-11","Iceland",1689,841,8,14,840,0,849
"15063","2020-04-12","Iceland",1701,889,8,12,804,0,897
"15248","2020-04-13","Iceland",1711,933,8,10,770,0,941
"15433","2020-04-14","Iceland",1720,989,8,9,723,0,997
"15618","2020-04-15","Iceland",1727,1077,8,7,642,0,1085
"15803","2020-04-16","Iceland",1739,1144,8,12,587,0,1152
"15988","2020-04-17","Iceland",1754,1224,9,15,521,0,1233
"16173","2020-04-18","Iceland",1760,1291,9,6,460,0,1300
"16358","2020-04-19","Iceland",1771,1291,9,11,471,0,1300
"16543","2020-04-20","Iceland",1773,1362,10,2,401,0,1372
"16728","2020-04-21","Iceland",1778,1417,10,5,351,0,1427
"16913","2020-04-22","Iceland",1785,1462,10,7,313,0,1472
"17098","2020-04-23","Iceland",1789,1509,10,4,270,0,1519
"17283","2020-04-24","Iceland",1789,1542,10,0,237,0,1552
"17468","2020-04-25","Iceland",1790,1570,10,1,210,0,1580
"17653","2020-04-26","Iceland",1792,1608,10,2,174,0,1618
"17838","2020-04-27","Iceland",1792,1624,10,0,158,0,1634
