"","Date","Country","Confirmed","Recovered","Deaths","nuovi_positivi","totale_positivi","nuovi_removed","removed"
"172","2020-01-22","US",1,0,0,0,1,0,0
"357","2020-01-23","US",1,0,0,0,1,0,0
"542","2020-01-24","US",2,0,0,1,2,0,0
"727","2020-01-25","US",2,0,0,0,2,0,0
"912","2020-01-26","US",5,0,0,3,5,0,0
"1097","2020-01-27","US",5,0,0,0,5,0,0
"1282","2020-01-28","US",5,0,0,0,5,0,0
"1467","2020-01-29","US",5,0,0,0,5,0,0
"1652","2020-01-30","US",5,0,0,0,5,0,0
"1837","2020-01-31","US",7,0,0,2,7,0,0
"2022","2020-02-01","US",8,0,0,1,8,0,0
"2207","2020-02-02","US",8,0,0,0,8,0,0
"2392","2020-02-03","US",11,0,0,3,11,0,0
"2577","2020-02-04","US",11,0,0,0,11,0,0
"2762","2020-02-05","US",11,0,0,0,11,0,0
"2947","2020-02-06","US",11,0,0,0,11,0,0
"3132","2020-02-07","US",11,0,0,0,11,0,0
"3317","2020-02-08","US",11,0,0,0,11,0,0
"3502","2020-02-09","US",11,3,0,0,8,0,3
"3687","2020-02-10","US",11,3,0,0,8,0,3
"3872","2020-02-11","US",12,3,0,1,9,0,3
"4057","2020-02-12","US",12,3,0,0,9,0,3
"4242","2020-02-13","US",13,3,0,1,10,0,3
"4427","2020-02-14","US",13,3,0,0,10,0,3
"4612","2020-02-15","US",13,3,0,0,10,0,3
"4797","2020-02-16","US",13,3,0,0,10,0,3
"4982","2020-02-17","US",13,3,0,0,10,0,3
"5167","2020-02-18","US",13,3,0,0,10,0,3
"5352","2020-02-19","US",13,3,0,0,10,0,3
"5537","2020-02-20","US",13,3,0,0,10,0,3
"5722","2020-02-21","US",15,5,0,2,10,0,5
"5907","2020-02-22","US",15,5,0,0,10,0,5
"6092","2020-02-23","US",15,5,0,0,10,0,5
"6277","2020-02-24","US",51,5,0,36,46,0,5
"6462","2020-02-25","US",51,6,0,0,45,0,6
"6647","2020-02-26","US",57,6,0,6,51,0,6
"6832","2020-02-27","US",58,6,0,1,52,0,6
"7017","2020-02-28","US",60,7,0,2,53,0,7
"7202","2020-02-29","US",68,7,1,8,60,0,8
"7387","2020-03-01","US",74,7,1,6,66,0,8
"7572","2020-03-02","US",98,7,6,24,85,0,13
"7757","2020-03-03","US",118,7,7,20,104,0,14
"7942","2020-03-04","US",149,7,11,31,131,0,18
"8127","2020-03-05","US",217,7,12,68,198,0,19
"8312","2020-03-06","US",262,7,14,45,241,0,21
"8497","2020-03-07","US",402,7,17,140,378,0,24
"8682","2020-03-08","US",518,7,21,116,490,0,28
"8867","2020-03-09","US",583,7,22,65,554,0,29
"9052","2020-03-10","US",959,8,28,376,923,0,36
"9237","2020-03-11","US",1281,8,36,322,1237,0,44
"9422","2020-03-12","US",1663,12,40,382,1611,0,52
"9607","2020-03-13","US",2179,12,47,516,2120,0,59
"9792","2020-03-14","US",2727,12,54,548,2661,0,66
"9977","2020-03-15","US",3499,12,63,772,3424,0,75
"10162","2020-03-16","US",4632,17,85,1133,4530,0,102
"10347","2020-03-17","US",6421,17,108,1789,6296,0,125
"10532","2020-03-18","US",7783,105,118,1362,7560,0,223
"10717","2020-03-19","US",13747,121,200,5964,13426,0,321
"10902","2020-03-20","US",19273,147,244,5526,18882,0,391
"11087","2020-03-21","US",25600,176,307,6327,25117,0,483
"11272","2020-03-22","US",33276,178,417,7676,32681,0,595
"11457","2020-03-23","US",43843,178,557,10567,43108,0,735
"11642","2020-03-24","US",53736,348,706,9893,52682,0,1054
"11827","2020-03-25","US",65778,361,942,12042,64475,0,1303
"12012","2020-03-26","US",83836,681,1209,18058,81946,0,1890
"12197","2020-03-27","US",101657,869,1581,17821,99207,0,2450
"12382","2020-03-28","US",121465,1072,2026,19808,118367,0,3098
"12567","2020-03-29","US",140909,2665,2467,19444,135777,0,5132
